,um,reflectance,uncertainty
678,4.0925,0.003091,0.000143
679,4.0975,0.003025,0.000171
680,4.1025,0.002806,0.000117
681,4.1075,0.003051,0.000136
682,4.1125,0.003012,0.000108
683,4.1175,0.002789,0.000115
684,4.1225,0.002852,7.5e-05
685,4.1275,0.003065,3.8e-05
686,4.1325,0.00294,0.000175
687,4.1375,0.002965,0.000158
688,4.1425,0.002984,0.000135
689,4.1475,0.002725,0.000181
690,4.1525,0.002702,3.2e-05
691,4.1575,0.002564,5e-05
692,4.1625,0.00249,0.000114
693,4.1675,0.002813,0.000171
694,4.1725,0.002968,7.6e-05
695,4.1775,0.002755,0.000166
696,4.1825,0.003026,3.4e-05
697,4.1875,0.00303,0.000111
698,4.1925,0.003043,0.000178
699,4.1975,0.002846,0.00016
700,4.2025,0.002928,0.000122
701,4.2075,0.002712,0.000203
702,4.2125,0.002543,0.000146
703,4.2175,0.002615,9.8e-05
704,4.2225,0.002669,0.000424
705,4.2275,0.002117,0.000125
706,4.2325,0.002117,0.000207
707,4.2375,0.00212,0.000286
708,4.2425,0.001869,0.00018
709,4.2475,0.001947,0.000309
710,4.2525,0.002042,0.000234
711,4.2575,0.002016,0.000186
712,4.2625,0.001851,0.000136
713,4.2675,0.001898,0.000286
714,4.2725,0.001817,0.000162
715,4.2775,0.001772,0.000304
716,4.2825,0.001965,0.000266
717,4.2875,0.002028,0.000155
718,4.2925,0.002177,0.000108
719,4.2975,0.00237,5.7e-05
720,4.3025,0.002583,5.7e-05
721,4.3075,0.002473,0.000113
722,4.3125,0.002452,0.000172
723,4.3175,0.002544,0.000125
724,4.3225,0.002406,0.000211
725,4.3275,0.002613,8.8e-05
726,4.3325,0.002662,0.000232
727,4.3375,0.00261,0.00022
728,4.3425,0.002385,0.000237
729,4.3475,0.002159,0.000156
730,4.3525,0.002153,0.000272
731,4.3575,0.002164,0.000205
732,4.3625,0.002248,0.000183
733,4.3675,0.00222,0.000255
734,4.3725,0.002352,0.000368
735,4.3775,0.002207,0.000374
736,4.3825,0.002199,0.000474
737,4.3875,0.002318,0.000344
738,4.3925,0.00239,0.000282
739,4.3975,0.00233,0.000216
740,4.4025,0.002134,0.000408
741,4.4075,0.002072,0.000134
742,4.4125,0.0019,0.000333
743,4.4175,0.001969,0.000519
744,4.4225,0.001885,0.000324
745,4.4275,0.001842,0.000322
746,4.4325,0.00173,0.000231
747,4.4375,0.001752,0.000112
748,4.4425,0.002085,0.000306
749,4.4475,0.002122,0.000259
750,4.4525,0.002315,0.000374
751,4.4575,0.002624,0.000252
752,4.4625,0.002378,0.000196
753,4.4675,0.002419,8.5e-05
754,4.4725,0.002457,0.000316
755,4.4775,0.002303,0.000274
756,4.4825,0.001941,5.9e-05
757,4.4875,0.002242,0.000359
758,4.4925,0.002403,0.00031
759,4.4975,0.002575,0.00048
760,4.5025,0.002658,0.000499
761,4.5075,0.002485,4.1e-05
762,4.5125,0.002197,0.000206
763,4.5175,0.002257,0.000133
764,4.5225,0.002374,0.000191
765,4.5275,0.002427,0.000261
766,4.5325,0.002395,0.000116
767,4.5375,0.002753,9.9e-05
768,4.5425,0.002536,0.000233
769,4.5475,0.002537,0.000223
770,4.5525,0.002433,0.000204
771,4.5575,0.002171,0.000354
772,4.5625,0.002367,0.000184
773,4.5675,0.002377,0.000385
